id	source	Description	rnaseq_gene_count_Phum_OR502AA_2dpi	rnaseq_gene_count_Phum_OR502AA_3dpi	rnaseq_gene_count_Phum_OR502AA_4dpi
Phum-OR502AA_011_000183.1	eggnog	Binds to single and double-stranded DNA and exhibits DNA-dependent ATPase activity	63	105	174
Phum-OR502AA_011_000184.1	eggnog	Ribosomal RNA adenine dimethylase	7031	5045	8792
Phum-OR502AA_011_000185.1	eggnog	ABC transporter transmembrane region	6	678	1275
Phum-OR502AA_011_000186.1	interproscan	G3DSA:1.25.10.10 domain-containing protein	246	353	775
Phum-OR502AA_011_000251.1	eggnog	Leucine Rich repeat	179	106	131
Phum-OR502AA_011_000187.1	interproscan	PTHR13510 domain-containing protein	9	251	305
Phum-OR502AA_011_000250.1	interproscan	PTHR13510 domain-containing protein	22	182	235
Phum-OR502AA_011_000188.1	eggnog	Belongs to the protein kinase superfamily	1199	1820	2540
Phum-OR502AA_011_000249.1	eggnog	DHHC palmitoyltransferase	142	158	217
Phum-OR502AA_011_000189.1	eggnog	Proteasome subunit A N-terminal signature Add an annotation	2551	3644	4546
Phum-OR502AA_011_000248.1	eggnog	Rhomboid family	181	237	333
Phum-OR502AA_011_000190.1	eggnog	domain-containing protein	163	338	483
Phum-OR502AA_011_000247.1	eggnog	Belongs to the protein-tyrosine phosphatase family	135	319	514
Phum-OR502AA_011_000191.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ15852.1	52	113	279
Phum-OR502AA_011_000246.1	eggnog	Complex 1 protein (LYR family)	165	145	187
Phum-OR502AA_011_000192.1	eggnog	domain-containing protein	1185	1323	1758
Phum-OR502AA_011_000245.1	eggnog	outer dynein arm assembly	16	101	100
Phum-OR502AA_011_000244.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_011_000243.1	eggnog	DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments made during discontinuous DNA replication	283	236	395
Phum-OR502AA_011_000193.1	eggnog	Sec1 family	30	350	317
Phum-OR502AA_011_000194.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0474073.1	472	945	1169
Phum-OR502AA_011_000195.1	eggnog	domain-containing protein	28	90	205
Phum-OR502AA_011_000196.1	eggnog	Leucine Rich repeat	122	364	583
Phum-OR502AA_011_000242.1	blastp	Homology to Peronospora effusa predicted protein RMX64485.1	243	321	418
Phum-OR502AA_011_000197.1	eggnog	Cupin superfamily protein	247	250	341
Phum-OR502AA_011_000198.1	eggnog	Peptide methionine sulfoxide reductase	280	468	686
Phum-OR502AA_011_000199.1	eggnog	RxLR effector	6	14	23
Phum-OR502AA_011_000200.1	interproscan	PTHR31827 domain-containing protein	0	5.99	26.467
Phum-OR502AA_011_000201.1	eggnog	RxLR effector	0	0	0
Phum-OR502AA_011_000202.1	interproscan	PTHR31827 domain-containing protein	0	0	0
Phum-OR502AA_011_000203.1	eggnog	RxLR effector	0	0	0
Phum-OR502AA_011_000204.1	interproscan	PTHR31827 domain-containing protein	1	19.74	78.922
Phum-OR502AA_011_000241.1	interproscan	PTHR31827 domain-containing protein	0	0	40.365
Phum-OR502AA_011_000240.1	unannotated	Hypothetical protein of unknown function	0	0	1.383
Phum-OR502AA_011_000239.1	interproscan	PTHR31827 domain-containing protein	2	55.27	107.863
Phum-OR502AA_011_000238.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_011_000237.1	eggnog	RxLR effector	0	0	0
Phum-OR502AA_011_000236.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7390690.1	0	573	1355
Phum-OR502AA_011_000235.1	blastp	Homology to Phytophthora nicotianae predicted protein ETK83238.1	5	129	116
Phum-OR502AA_011_000234.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2764468.1	0	13	32
Phum-OR502AA_011_000233.1	interproscan	PTHR19303 domain-containing protein	47	102	125
Phum-OR502AA_011_000232.1	blastp	Homology to predicted protein KAH7495624.1	14	35	53
Phum-OR502AA_011_000205.1	eggnog	The glycine cleavage system catalyzes the degradation of glycine	2204	1948	2562
Phum-OR502AA_011_000206.1	eggnog	domain-containing protein	1809	2112	2976
Phum-OR502AA_011_000207.1	blastp	Homology to Peronospora effusa predicted protein RMX67197.1	79	224	386
Phum-OR502AA_011_000208.1	eggnog	Cytosolic domain of 10TM putative phosphate transporter	480.191	1189.505	1449.03
Phum-OR502AA_011_000231.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7482161.1	11	42	55
Phum-OR502AA_011_000230.1	eggnog	Cytosolic domain of 10TM putative phosphate transporter	110.809	221.495	351.97
Phum-OR502AA_011_000229.1	eggnog	domain-containing protein	589	922	1254
Phum-OR502AA_011_000209.1	interproscan	PTHR32123 domain-containing protein	880	1357	1997
Phum-OR502AA_011_000228.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6574664.1	270	489	484
Phum-OR502AA_011_000227.1	eggnog	5-formyltetrahydrofolate cyclo-ligase family	148	220	422
Phum-OR502AA_011_000210.1	interproscan	PTHR38909 domain-containing protein	271	733	980
Phum-OR502AA_011_000226.1	eggnog	RNA recognition motif	355	235	335
Phum-OR502AA_011_000211.1	blastp	Homology to Peronospora effusa predicted protein UIZ24435.1	11	54	40
Phum-OR502AA_011_000212.1	interproscan	PTHR35213 domain-containing protein	257	209	318
Phum-OR502AA_011_000225.1	eggnog	Uncharacterised protein family (UPF0121)	544	554	755
Phum-OR502AA_011_000224.1	eggnog	domain-containing protein	246	301	390
Phum-OR502AA_011_000223.1	eggnog	Amino acid permease	363	587	753
Phum-OR502AA_011_000222.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7463630.1	84	266	279
Phum-OR502AA_011_000213.1	eggnog	Acyl CoA binding protein	69	97	126
Phum-OR502AA_011_000214.1	eggnog	Calpain-like thiol protease family	270	330	566
Phum-OR502AA_011_000215.1	eggnog	Late exocytosis, associated with Golgi transport	213	537	668
Phum-OR502AA_011_000221.1	interproscan	PTHR38909 domain-containing protein	3	56	77
Phum-OR502AA_011_000216.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6955500.1	827	1650	2346
Phum-OR502AA_011_000217.1	eggnog	RPR	265	400	554
Phum-OR502AA_011_000218.1	eggnog	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome	5049	4232	6037
Phum-OR502AA_011_000219.1	eggnog	Late exocytosis, associated with Golgi transport	440	595	884
Phum-OR502AA_011_000220.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7389044.1	585	739	1092
Phum-OR502AA_012_000485.1	blastp	Homology to Phytophthora citrophthora predicted protein KAK1947420.1	4.938	28.059	68.458
Phum-OR502AA_012_000001.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7388928.1	52.329	253.024	413.761
Phum-OR502AA_012_000484.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7388928.1	21.734	27.917	38.781
Phum-OR502AA_012_000002.1	eggnog	domain-containing protein	211	350	425
Phum-OR502AA_012_000483.1	eggnog	3'-tRNA processing endoribonuclease activity	68	108	139
Phum-OR502AA_012_000003.1	eggnog	sister chromatid cohesion	278	565	711
Phum-OR502AA_012_000482.1	eggnog	domain-containing protein	735	831	1347
Phum-OR502AA_012_000004.1	eggnog	DNA polymerase family B	191	368	451
Phum-OR502AA_012_000481.1	eggnog	N-terminal domain of 16S rRNA methyltransferase RsmF	775	574	680
Phum-OR502AA_012_000005.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7388920.1	104	287	317
Phum-OR502AA_012_000480.1	eggnog	ATP-NAD kinase	377	760	1005
Phum-OR502AA_012_000006.1	eggnog	Plays a complex role in regulating the basal catalytic activity of the alpha subunit	670.686	863.299	1167.273
Phum-OR502AA_012_000007.1	eggnog	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase	305	346	520
Phum-OR502AA_012_000479.1	blastp	Homology to Phytophthora infestans predicted protein KAF4129609.1	29	55	68
Phum-OR502AA_012_000008.1	eggnog	Glutaredoxin	464	611	779
Phum-OR502AA_012_000478.1	eggnog	domain-containing protein	1331	734	1157
Phum-OR502AA_012_000009.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0475596.1	3	13	94
Phum-OR502AA_012_000010.1	eggnog	glutamate reuptake	35	104	159
Phum-OR502AA_012_000011.1	eggnog	Plays a complex role in regulating the basal catalytic activity of the alpha subunit	0	0	0
Phum-OR502AA_012_000012.1	eggnog	Plays a complex role in regulating the basal catalytic activity of the alpha subunit	148.045	225.541	286.869
Phum-OR502AA_012_000013.1	eggnog	Plays a complex role in regulating the basal catalytic activity of the alpha subunit	13.27	25.16	29.859
Phum-OR502AA_012_000014.1	eggnog	Plays a complex role in regulating the basal catalytic activity of the alpha subunit	0	0	0
Phum-OR502AA_012_000015.1	eggnog	domain-containing protein	431	514	633
Phum-OR502AA_012_000477.1	eggnog	bZIP transcription factor	241	279	441
Phum-OR502AA_012_000016.1	eggnog	domain-containing protein	349	679	1010
Phum-OR502AA_012_000017.1	eggnog	domain-containing protein	450	690	1097
Phum-OR502AA_012_000018.1	interproscan	PTHR13405 domain-containing protein	704	980	1201
Phum-OR502AA_012_000476.1	eggnog	domain-containing protein	657	936	1412
Phum-OR502AA_012_000475.1	eggnog	Cullin	121.808	234.091	350.441
Phum-OR502AA_012_000019.1	eggnog	domain-containing protein	10.725	0	22.089
Phum-OR502AA_012_000474.1	eggnog	Cullin	729.192	1151.909	1518.559
Phum-OR502AA_012_000020.1	eggnog	domain-containing protein	129	222	263
Phum-OR502AA_012_000473.1	eggnog	domain-containing protein	504.275	337	437.911
Phum-OR502AA_012_000472.1	eggnog	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	572.391	645.602	959.926
Phum-OR502AA_012_000021.1	eggnog	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	63.763	180.829	179.234
Phum-OR502AA_012_000022.1	eggnog	Peptidase family M3	867	1338	1625
Phum-OR502AA_012_000023.1	eggnog	domain-containing protein	750	2288	2602
Phum-OR502AA_012_000471.1	eggnog	domain-containing protein	2	100	110
Phum-OR502AA_012_000024.1	eggnog	fibronectin type III	36	102	155
Phum-OR502AA_012_000470.1	blastp	Homology to Peronospora farinosa predicted protein CAH0484781.1	172	228	351.996
Phum-OR502AA_012_000025.1	eggnog	Histone acetyltransferases subunit 3	46	100	162
Phum-OR502AA_012_000469.1	eggnog	domain-containing protein	235	307	393
Phum-OR502AA_012_000026.1	blastp	Homology to Phytophthora nicotianae predicted protein ETP03921.1	150	698	835
Phum-OR502AA_012_000468.1	eggnog	Tubulin-tyrosine ligase family	1	28	27
Phum-OR502AA_012_000467.1	eggnog	unfolded protein binding	13	21	28
Phum-OR502AA_012_000466.1	eggnog	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	174.025	185.084	310.614
Phum-OR502AA_012_000465.1	eggnog	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	4.873	37.87	53.725
Phum-OR502AA_012_000464.1	unannotated	Hypothetical protein of unknown function	0	1	0
Phum-OR502AA_012_000027.1	eggnog	Trypsin-like serine protease	13	62	75
Phum-OR502AA_012_000028.1	eggnog	Trypsin-like serine protease	3157	3765	5911
Phum-OR502AA_012_000029.1	eggnog	Trypsin-like serine protease	258	331	503
Phum-OR502AA_012_000030.1	eggnog	Trypsin-like serine protease	82	53	85
Phum-OR502AA_012_000031.1	eggnog	ABC transporter transmembrane region	246	478	879
Phum-OR502AA_012_000463.1	eggnog	N-terminal region of Chorein or VPS13	464	660	918
Phum-OR502AA_012_000032.1	eggnog	Striatin family	553	811	1065
Phum-OR502AA_012_000462.1	eggnog	domain-containing protein	6518	6018	8571
Phum-OR502AA_012_000033.1	eggnog	Calcineurin-like phosphoesterase	0	65	105
Phum-OR502AA_012_000034.1	eggnog	Peptidyl-tRNA hydrolase PTH2	208.902	228.764	331.524
Phum-OR502AA_012_000461.1	eggnog	Calcineurin-like phosphoesterase	274	405	547
Phum-OR502AA_012_000035.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7385396.1	31.386	119.112	147.033
Phum-OR502AA_012_000036.1	eggnog	Lipase (class 3)	362.577	615.745	822.749
Phum-OR502AA_012_000037.1	eggnog	Lipase (class 3)	8.533	26.854	42.241
Phum-OR502AA_012_000460.1	unannotated	Hypothetical protein of unknown function	34	33	96
Phum-OR502AA_012_000459.1	eggnog	Ankyrin repeats (many copies)	92.467	380.146	473.759
Phum-OR502AA_012_000458.1	eggnog	Lipase (class 3)	28.423	46.255	61.251
Phum-OR502AA_012_000457.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7385396.1	5.614	112.888	135.967
Phum-OR502AA_012_000456.1	eggnog	Peptidyl-tRNA hydrolase PTH2	110.098	112.236	146.476
Phum-OR502AA_012_000038.1	eggnog	Cytochrome c oxidase subunit VIa	1468	1514	2167
Phum-OR502AA_012_000039.1	eggnog	HIT zinc finger	102	172	241
Phum-OR502AA_012_000455.1	eggnog	Protein of unknown function (DUF974)	220	327	377
Phum-OR502AA_012_000040.1	eggnog	Proteasome subunit	330	343	556
Phum-OR502AA_012_000454.1	eggnog	domain-containing protein	274	1150	1521
Phum-OR502AA_012_000453.1	unannotated	Hypothetical protein of unknown function	152.903	76.982	171.337
Phum-OR502AA_012_000452.1	eggnog	Extension to Ser/Thr-type protein kinases	18.439	68.162	94.394
Phum-OR502AA_012_000041.1	unannotated	Hypothetical protein of unknown function	47.521	108.294	132.085
Phum-OR502AA_012_000042.1	unannotated	Hypothetical protein of unknown function	63.066	46.119	99.773
Phum-OR502AA_012_000451.1	eggnog	Extension to Ser/Thr-type protein kinases	93.357	247.906	265.753
Phum-OR502AA_012_000450.1	unannotated	Hypothetical protein of unknown function	220.51	204.605	268.805
Phum-OR502AA_012_000043.1	eggnog	Extension to Ser/Thr-type protein kinases	222.204	790.932	900.854
Phum-OR502AA_012_000449.1	eggnog	rRNA-processing protein Efg1	84	57	82
Phum-OR502AA_012_000044.1	eggnog	Inward rectifier potassium channel	120	469	589
Phum-OR502AA_012_000448.1	eggnog	domain-containing protein	1370	1356.337	2059
Phum-OR502AA_012_000447.1	eggnog	domain-containing protein	333	376	550
Phum-OR502AA_012_000446.1	eggnog	domain-containing protein	680	1691	2403
Phum-OR502AA_012_000445.1	eggnog	Serine hydrolase (FSH1)	220	337	451
Phum-OR502AA_012_000444.1	eggnog	SPFH domain / Band 7 family	447	2547	3009
Phum-OR502AA_012_000045.1	eggnog	prohibitin homologues	321	2483	2894
Phum-OR502AA_012_000443.1	eggnog	thiol-dependent ubiquitin-specific protease activity	636	1029	1312
Phum-OR502AA_012_000046.1	eggnog	Sugar (and other) transporter	281	384	487
Phum-OR502AA_012_000047.1	eggnog	domain-containing protein	89	118	152
Phum-OR502AA_012_000048.1	interproscan	PTHR31355 domain-containing protein	9	53	60
Phum-OR502AA_012_000049.1	eggnog	Zinc-ribbon	0	39	70
Phum-OR502AA_012_000442.1	eggnog	Trehalose-phosphatase	39	210	267
Phum-OR502AA_012_000050.1	blastp	Homology to Peronospora destructor predicted protein CAI5730471.1	8	27	62
Phum-OR502AA_012_000441.1	eggnog	PAP2 superfamily C-terminal	255	559	830
Phum-OR502AA_012_000051.1	eggnog	Ankyrin repeat	26	69	113
Phum-OR502AA_012_000052.1	eggnog	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase	397	275	550
Phum-OR502AA_012_000053.1	blastp	Homology to Phytophthora rubi predicted protein KAE9019876.1	102	116	196
Phum-OR502AA_012_000440.1	eggnog	positive regulation of catalytic activity in other organism involved in symbiotic interaction	10	31	36
Phum-OR502AA_012_000439.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7378252.1	19	52	80
Phum-OR502AA_012_000054.1	eggnog	ubiquitin modification-dependent histone binding	71.943	146.767	197.059
Phum-OR502AA_012_000438.1	eggnog	Peroxisomal protein PEX19 family protein	3.014	19.568	10.918
Phum-OR502AA_012_000055.1	eggnog	domain-containing protein	38.34	21.9	29.522
Phum-OR502AA_012_000056.1	eggnog	domain-containing protein	16	26.199	43
Phum-OR502AA_012_000437.1	eggnog	domain-containing protein	653	1064	1956
Phum-OR502AA_012_000057.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7390519.1	38	129	151
Phum-OR502AA_012_000058.1	eggnog	RNA recognition motif	455	531	731
Phum-OR502AA_012_000436.1	eggnog	domain-containing protein	35.66	84.1	57.478
Phum-OR502AA_012_000059.1	eggnog	Pex19 protein family	172	260	265
Phum-OR502AA_012_000060.1	eggnog	Pex19 protein family	73.995	75	102.944
Phum-OR502AA_012_000061.1	eggnog	Peroxisomal protein PEX19 family protein	1.99	31.432	16.138
Phum-OR502AA_012_000435.1	eggnog	ubiquitin modification-dependent histone binding	98.057	59.233	82.941
Phum-OR502AA_012_000062.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_012_000063.1	eggnog	RNA recognition motif	2588	1335	1744
Phum-OR502AA_012_000434.1	eggnog	Protein of unknown function (DUF1604)	108	169	252
Phum-OR502AA_012_000064.1	eggnog	domain-containing protein	19	92.801	128
Phum-OR502AA_012_000065.1	blastp	Homology to Peronospora effusa predicted protein RMX64014.1	679	849	1289
Phum-OR502AA_012_000066.1	eggnog	domain-containing protein	767	910	1322
Phum-OR502AA_012_000433.1	eggnog	domain-containing protein	418	567	806
Phum-OR502AA_012_000432.1	eggnog	Xylanase inhibitor N-terminal	185	277	439
Phum-OR502AA_012_000431.1	eggnog	Xylanase inhibitor N-terminal	444	485	893
Phum-OR502AA_012_000430.1	eggnog	B-Box-type zinc finger	30	55	99
Phum-OR502AA_012_000067.1	eggnog	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen	996	937	1249
Phum-OR502AA_012_000068.1	eggnog	Ankyrin repeat	422	490	676
Phum-OR502AA_012_000429.1	blastp	Homology to Phytophthora nicotianae predicted protein ETP32276.1	4	31	22
Phum-OR502AA_012_000069.1	eggnog	Meckel syndrome type 1	0	42	38
Phum-OR502AA_012_000428.1	eggnog	domain-containing protein	14	214	264
Phum-OR502AA_012_000070.1	eggnog	NmrA-like family	409	650	856
Phum-OR502AA_012_000427.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8906446.1	3	23	27
Phum-OR502AA_012_000071.1	eggnog	phosphatidylinositol-3,5-bisphosphate binding	132	227	328
Phum-OR502AA_012_000426.1	eggnog	Ubiquitin-conjugating enzyme E2, catalytic domain homologues	273	519	701
Phum-OR502AA_012_000425.1	eggnog	domain-containing protein	835	1028	1537
Phum-OR502AA_012_000072.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7390489.1	928	1415	1910
Phum-OR502AA_012_000424.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6619377.1	353	462	672
Phum-OR502AA_012_000073.1	eggnog	MYND finger	751	848	1422
Phum-OR502AA_012_000423.1	eggnog	DNA photolyase	459	631	1125
Phum-OR502AA_012_000422.1	eggnog	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins	610	1170	1668
Phum-OR502AA_012_000421.1	eggnog	Domain of unknown function (DUF1977)	349	359	597
Phum-OR502AA_012_000420.1	eggnog	SOS response associated peptidase (SRAP)	21	66	70
Phum-OR502AA_012_000074.1	blastp	Homology to Peronospora farinosa predicted protein CAH0492618.1	0	0	0
Phum-OR502AA_012_000075.1	unannotated	Hypothetical protein of unknown function	8	4	14
Phum-OR502AA_012_000419.1	eggnog	domain-containing protein	5287	6300	9026
Phum-OR502AA_012_000418.1	eggnog	U3 small nucleolar ribonucleoprotein	354	276	405
Phum-OR502AA_012_000076.1	eggnog	Belongs to the small GTPase superfamily	23	127	99
Phum-OR502AA_012_000417.1	eggnog	domain-containing protein	366	728	995
Phum-OR502AA_012_000416.1	eggnog	domain-containing protein	1208	2182	3163
Phum-OR502AA_012_000415.1	eggnog	Late exocytosis, associated with Golgi transport	58.988	388.381	336.539
Phum-OR502AA_012_000414.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues	16.802	70.674	65.691
Phum-OR502AA_012_000413.1	eggnog	Phosphatidylinositol-4-phosphate 5-Kinase	10.423	14.212	19.202
Phum-OR502AA_012_000077.1	eggnog	ATP10 protein	101	104	163
Phum-OR502AA_012_000412.1	eggnog	Anaphase-promoting complex subunit 11 RING-H2 finger	32	122	167
Phum-OR502AA_012_000411.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7390481.1	1	60	86
Phum-OR502AA_012_000078.1	eggnog	short chain dehydrogenase	354	219	229
Phum-OR502AA_012_000410.1	eggnog	Concanavalin A-like lectin/glucanases superfamily	177	190	250
Phum-OR502AA_012_000409.1	eggnog	WD domain, G-beta repeat	23	312	165
Phum-OR502AA_012_000408.1	eggnog	Protein kinase C conserved region 2 (CalB)	447	548	768
Phum-OR502AA_012_000407.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7386755.1	77	77	142
Phum-OR502AA_012_000406.1	eggnog	Eukaryotic initiation factor 4E	707	865	1170
Phum-OR502AA_012_000405.1	eggnog	Enoyl-CoA hydratase/isomerase	968	1314	1554
Phum-OR502AA_012_000079.1	eggnog	Ribosomal_L15e	16292	15065	21539
Phum-OR502AA_012_000404.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008897084.1	141	185	239
Phum-OR502AA_012_000080.1	eggnog	protein serine/threonine phosphatase activity	14	21	24
Phum-OR502AA_012_000081.1	eggnog	Phosphatidylinositol-4-phosphate 5-Kinase	429.577	623.788	829.798
Phum-OR502AA_012_000082.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues	29.198	78.326	103.309
Phum-OR502AA_012_000083.1	eggnog	Late exocytosis, associated with Golgi transport	75.012	309.619	240.461
Phum-OR502AA_012_000403.1	eggnog	protein modification by small protein conjugation or removal	118	225	293
Phum-OR502AA_012_000402.1	eggnog	ADP-ribosylation factor family	1	14	18
Phum-OR502AA_012_000084.1	eggnog	occurring C-terminal to leucine-rich repeats	0	5	10
Phum-OR502AA_012_000401.1	eggnog	assists the folding of proteins upon ATP hydrolysis	3027	3918	5023
Phum-OR502AA_012_000085.1	eggnog	Condensin II non structural maintenance of chromosomes subunit	279	274	447
Phum-OR502AA_012_000400.1	eggnog	Kinase-like	278	610	1138
Phum-OR502AA_012_000399.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7386771.1	303	406	643
Phum-OR502AA_012_000398.1	eggnog	domain-containing protein	403	313	444
Phum-OR502AA_012_000086.1	eggnog	Protein of unknown function TPD sequence-motif	292	264	303
Phum-OR502AA_012_000087.1	eggnog	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	12.9	34.744	34.981
Phum-OR502AA_012_000397.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_012_000396.1	eggnog	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	1.048	4.545	3.742
Phum-OR502AA_012_000395.1	eggnog	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	0	0	0
Phum-OR502AA_012_000394.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_012_000393.1	eggnog	domain-containing protein	0	0	3
Phum-OR502AA_012_000088.1	eggnog	domain-containing protein	0	0	0
Phum-OR502AA_012_000392.1	unannotated	Hypothetical protein of unknown function	93.558	19.53	4.584
Phum-OR502AA_012_000089.1	eggnog	domain-containing protein	0	0	15.889
Phum-OR502AA_012_000391.1	unannotated	Hypothetical protein of unknown function	83.36	51.172	134.935
Phum-OR502AA_012_000090.1	eggnog	domain-containing protein	3	9.311	0
Phum-OR502AA_012_000390.1	unannotated	Hypothetical protein of unknown function	101.083	44.298	77.481
Phum-OR502AA_012_000091.1	eggnog	domain-containing protein	0	6.689	14.111
Phum-OR502AA_012_000389.1	eggnog	Dihydrouridine synthase (Dus)	348	337	403
Phum-OR502AA_012_000388.1	eggnog	16S rRNA methyltransferase RsmB/F	380	418	506
Phum-OR502AA_012_000092.1	eggnog	Ubiquitin carboxyl-terminal hydrolase	982	1374	1918
Phum-OR502AA_012_000387.1	eggnog	Leucine-rich repeats, outliers	538	1103	1609
Phum-OR502AA_012_000386.1	eggnog	domain-containing protein	84.17	111.953	196.466
Phum-OR502AA_012_000093.1	interproscan	G3DSA:2.60.120.330 domain-containing protein	23	43	64
Phum-OR502AA_012_000385.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7381583.1	10	48	37
Phum-OR502AA_012_000094.1	eggnog	domain-containing protein	33.83	165.047	428.534
Phum-OR502AA_012_000095.1	eggnog	Protein of unknown function (DUF3591)	536	887	1079
Phum-OR502AA_012_000096.1	eggnog	Ubiquitin Carboxyl-terminal Hydrolase-like zinc finger	433	818	1140
Phum-OR502AA_012_000384.1	eggnog	IQ calmodulin-binding motif	3	26	28
Phum-OR502AA_012_000383.1	eggnog	microtubule motor activity	284	310	368
Phum-OR502AA_012_000382.1	eggnog	microtubule motor activity	29	146	285
Phum-OR502AA_012_000381.1	blastp	Homology to Peronospora destructor predicted protein CAI5713573.1	106	148	248
Phum-OR502AA_012_000097.1	eggnog	domain-containing protein	560	697	956
Phum-OR502AA_012_000098.1	eggnog	Sodium/calcium exchanger protein	5863	7355	8448
Phum-OR502AA_012_000099.1	eggnog	Vesicle transport v-SNARE protein N-terminus	325	586	1188
Phum-OR502AA_012_000100.1	eggnog	Leucine Rich Repeat	8	26	53
Phum-OR502AA_012_000380.1	eggnog	WD40 repeats	334	270	329
Phum-OR502AA_012_000101.1	blastp	Homology to Peronospora effusa predicted protein RMX66704.1	931	1749	2538
Phum-OR502AA_012_000379.1	eggnog	domain-containing protein	227	136	187
Phum-OR502AA_012_000102.1	blastp	Homology to Peronospora destructor predicted protein CAI5737264.1	229	151	210
Phum-OR502AA_012_000378.1	eggnog	BTB And C-terminal Kelch	273	519	585
Phum-OR502AA_012_000103.1	blastp	Homology to Peronospora farinosa predicted protein CAI5716366.1	236	362	419
Phum-OR502AA_012_000377.1	eggnog	Dynein heavy chain and region D6 of dynein motor	3310	4277	5862
Phum-OR502AA_012_000376.1	eggnog	C-terminus of histone H2A	816	1132	1548
Phum-OR502AA_012_000104.1	eggnog	Broad-Complex, Tramtrack and Bric a brac	62	180	223
Phum-OR502AA_012_000375.1	eggnog	domain-containing protein	105	148	202
Phum-OR502AA_012_000105.1	eggnog	LETM1-like protein	1060	966	1378
Phum-OR502AA_012_000374.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0480990.1	238.385	529.438	4162.63
Phum-OR502AA_012_000106.1	eggnog	domain-containing protein	46.979	123.119	421.576
Phum-OR502AA_012_000373.1	eggnog	Aldo/keto reductase family	628	557	858
Phum-OR502AA_012_000107.1	blastp	Homology to Peronospora farinosa predicted protein CAH0489683.1	28.615	156.562	1283.37
Phum-OR502AA_012_000108.1	interproscan	PTHR35518 domain-containing protein	236	473	679
Phum-OR502AA_012_000372.1	blastp	Homology to Peronospora farinosa predicted protein CAH0489683.1	0	27	201
Phum-OR502AA_012_000371.1	eggnog	Snare region anchored in the vesicle membrane C-terminus	157	401	392
Phum-OR502AA_012_000109.1	eggnog	Kinase phosphorylation protein	88	174	223
Phum-OR502AA_012_000370.1	eggnog	Phosphoadenosine phosphosulfate reductase family	185	274	327
Phum-OR502AA_012_000369.1	eggnog	assists the folding of proteins upon ATP hydrolysis	2020	2817	3732
Phum-OR502AA_012_000368.1	eggnog	domain-containing protein	15.021	39.881	98.424
Phum-OR502AA_012_000367.1	eggnog	Putative serine esterase (DUF676)	45	87	181
